title,title_type,genre,runtime,mpaa_rating,thtr_rel_year,thtr_rel_month,thtr_rel_day,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,director,imdb_url,rt_url
Rhinestone,Feature Film,Comedy,111.0,PG,1984.0,6.0,20.0,3.6,5544,Rotten,15.0,Spilled,36.0,no,no,no,no,no,no,Bob Clark (III),http://www.imdb.com/title/tt0088001/,//www.rottentomatoes.com/m/rhinestone/
Burn After Reading,Feature Film,Drama,96.0,R,2008.0,8.0,27.0,7.0,240033,Certified Fresh,78.0,Upright,64.0,no,no,no,yes,yes,no,Joel Coen,http://www.imdb.com/title/tt0887883/,//www.rottentomatoes.com/m/burn_after_reading/
The Doors,Feature Film,Drama,140.0,R,1991.0,3.0,1.0,7.2,66489,Rotten,54.0,Upright,80.0,no,no,no,no,yes,no,Oliver Stone,http://www.imdb.com/title/tt0101761/,//www.rottentomatoes.com/m/doors/
The Wood,Feature Film,Drama,106.0,R,1999.0,7.0,16.0,6.9,6336,Fresh,61.0,Upright,92.0,no,no,no,no,no,no,Rick Famuyiwa,http://www.imdb.com/title/tt0161100/,//www.rottentomatoes.com/m/wood/
Jason X,Feature Film,Horror,91.0,R,2002.0,4.0,26.0,4.4,37769,Rotten,19.0,Spilled,24.0,no,no,no,no,no,no,James Isaac,http://www.imdb.com/title/tt0211443/,//www.rottentomatoes.com/m/jason_x/
Dragon Wars,Feature Film,Drama,90.0,PG-13,2007.0,9.0,13.0,3.6,21268,Rotten,29.0,Spilled,19.0,no,no,no,no,no,no,Hyung-rae Shim,http://www.imdb.com/title/tt0372873/,//www.rottentomatoes.com/m/dragon_wars/
Fallen,Feature Film,Drama,124.0,R,1997.0,6.0,1.0,7.0,56201,Rotten,40.0,Upright,73.0,no,no,yes,no,no,no,Gregory Hoblit,http://www.imdb.com/title/tt0119099/,//www.rottentomatoes.com/m/1080990-fallen/
The Gleaners and I,Documentary,Documentary,82.0,Unrated,2001.0,4.0,6.0,7.6,3459,Fresh,92.0,Upright,86.0,no,no,no,no,no,no,Agnes Varda,http://www.imdb.com/title/tt0247380/,//www.rottentomatoes.com/m/the_gleaners_and_i/
Tamara Drewe,Feature Film,Drama,107.0,R,2010.0,10.0,8.0,6.2,16717,Fresh,66.0,Spilled,42.0,no,no,no,no,no,no,Stephen Frears,http://www.imdb.com/title/tt1486190/,//www.rottentomatoes.com/m/tamara_drewe_2010/
Not Without My Daughter,Feature Film,Drama,116.0,PG-13,1991.0,1.0,11.0,6.2,9357,Rotten,47.0,Upright,71.0,no,no,no,yes,no,no,Brian Gilbert,http://www.imdb.com/title/tt0102555/,//www.rottentomatoes.com/m/not_without_my_daughter/
The Yes Men Fix the World,Documentary,Documentary,87.0,Unrated,2009.0,1.0,18.0,7.6,4541,Certified Fresh,79.0,Upright,77.0,no,no,no,no,no,no,Andy Bichlbaum,http://www.imdb.com/title/tt1352852/,//www.rottentomatoes.com/m/yes_men_fix_the_world/
"Oh, God! You Devil",Feature Film,Comedy,97.0,PG,1984.0,11.0,9.0,5.3,1816,Rotten,40.0,Spilled,41.0,no,no,no,no,no,no,Paul Bogart,http://www.imdb.com/title/tt0087835/,//www.rottentomatoes.com/m/oh_god_you_devil/
Meet Joe Black,Feature Film,Drama,178.0,PG-13,1998.0,11.0,13.0,7.1,163490,Rotten,51.0,Upright,81.0,no,no,yes,no,no,no,Martin Brest,http://www.imdb.com/title/tt0119643/,//www.rottentomatoes.com/m/meet_joe_black/
The Bay,Feature Film,Horror,84.0,R,2012.0,11.0,2.0,5.6,19285,Certified Fresh,77.0,Spilled,43.0,no,no,no,no,yes,no,Barry Levinson,http://www.imdb.com/title/tt1713476/,//www.rottentomatoes.com/m/the_bay_2012/
Scandal,Feature Film,Art House & International,115.0,R,1989.0,5.0,28.0,6.4,3688,Fresh,91.0,Upright,61.0,no,no,no,no,no,no,Michael Caton-Jones,http://www.imdb.com/title/tt0098260/,//www.rottentomatoes.com/m/scandal_1989/
Imagine: John Lennon,Documentary,Musical & Performing Arts,100.0,R,1988.0,10.0,7.0,7.9,3488,Fresh,92.0,Upright,91.0,no,no,no,no,no,no,Andrew Solt,http://www.imdb.com/title/tt0095360/,//www.rottentomatoes.com/m/imagine/
Locke,Feature Film,Mystery & Suspense,85.0,R,2014.0,4.0,25.0,7.1,82851,Certified Fresh,91.0,Upright,71.0,no,no,no,no,no,no,Steven Knight,http://www.imdb.com/title/tt2692904/,//www.rottentomatoes.com/m/locke/
The Spongebob Squarepants Movie,Feature Film,Animation,87.0,PG,2004.0,11.0,19.0,7.0,56128,Fresh,68.0,Upright,77.0,no,no,no,no,no,no,Sherm Cohen,http://www.imdb.com/title/tt0345950/,//www.rottentomatoes.com/m/spongebob_squarepants_movie/
The Muppet Christmas Carol,Feature Film,Science Fiction & Fantasy,85.0,G,1992.0,1.0,1.0,7.7,33101,Fresh,69.0,Upright,85.0,no,no,no,no,no,no,Brian Henson,http://www.imdb.com/title/tt0104940/,//www.rottentomatoes.com/m/muppet_christmas_carol/
Die Hard 2,Feature Film,Mystery & Suspense,124.0,R,1990.0,7.0,2.0,7.1,259822,Fresh,69.0,Upright,70.0,no,no,no,no,no,no,Renny Harlin,http://www.imdb.com/title/tt0099423/,//www.rottentomatoes.com/m/die_hard_2_1990/
The Reckoning,Feature Film,Documentary,112.0,R,2004.0,3.0,5.0,6.6,4908,Rotten,40.0,Spilled,57.0,no,no,no,no,no,no,Pamela Yates,http://www.imdb.com/title/tt0258816/,//www.rottentomatoes.com/m/1130191-reckoning/
Alice in Wonderland,Feature Film,Action & Adventure,108.0,PG,2010.0,3.0,5.0,6.5,290356,Rotten,52.0,Spilled,55.0,no,no,no,no,no,no,Tim Burton,http://www.imdb.com/title/tt1014759/,//www.rottentomatoes.com/m/1221547-alice_in_wonderland/
I'm Not There,Feature Film,Drama,135.0,R,2007.0,11.0,21.0,7.0,47297,Certified Fresh,76.0,Upright,70.0,no,no,no,yes,no,no,Todd Haynes,http://www.imdb.com/title/tt0368794/,//www.rottentomatoes.com/m/im_not_there_suppositions_on_a_film_concerning_dylan/
Three Wishes,Feature Film,Drama,115.0,PG,1995.0,11.0,3.0,6.1,2145,Rotten,13.0,Spilled,51.0,no,no,no,no,no,no,Martha Coolidge,http://www.imdb.com/title/tt0114663/,//www.rottentomatoes.com/m/three_wishes/
Aliens,Feature Film,Action & Adventure,137.0,R,1986.0,7.0,18.0,8.4,466400,Certified Fresh,98.0,Upright,94.0,no,no,no,no,yes,no,James Cameron,http://www.imdb.com/title/tt0090605/,//www.rottentomatoes.com/m/1000617-aliens/
Driving Miss Daisy,Feature Film,Drama,99.0,PG,1989.0,6.0,1.0,7.4,69338,Certified Fresh,81.0,Upright,81.0,yes,yes,no,yes,no,no,Bruce Beresford,http://www.imdb.com/title/tt0097239/,//www.rottentomatoes.com/m/driving_miss_daisy/
Max,Feature Film,Drama,106.0,R,2002.0,12.0,27.0,6.6,6228,Fresh,69.0,Upright,64.0,no,no,no,no,no,no,Menno Meyjes,http://www.imdb.com/title/tt0290210/,//www.rottentomatoes.com/m/max/
Serpico,Feature Film,Drama,130.0,R,1973.0,12.0,5.0,7.8,75468,Fresh,90.0,Upright,88.0,no,no,yes,no,no,no,Sidney Lumet,http://www.imdb.com/title/tt0070666/,//www.rottentomatoes.com/m/serpico/
Basic,Feature Film,Drama,98.0,R,2003.0,3.0,28.0,6.5,48519,Rotten,21.0,Upright,64.0,no,no,no,no,no,no,John McTiernan,http://www.imdb.com/title/tt0264395/,//www.rottentomatoes.com/m/basic/
The Guru,Feature Film,Comedy,94.0,R,2002.0,1.0,31.0,5.4,13523,Rotten,57.0,Spilled,40.0,no,no,no,no,no,no,Daisy von Scherler Mayer,http://www.imdb.com/title/tt0280720/,//www.rottentomatoes.com/m/1119875-guru/
The Color Purple,Feature Film,Drama,154.0,PG-13,1985.0,12.0,16.0,7.8,58668,Fresh,88.0,Upright,94.0,yes,no,no,no,yes,no,Steven Spielberg,http://www.imdb.com/title/tt0088939/,//www.rottentomatoes.com/m/color_purple/
The Dream Team,Feature Film,Comedy,113.0,PG-13,1989.0,4.0,7.0,6.5,9654,Rotten,54.0,Upright,62.0,no,no,no,no,no,no,Howard Zieff,http://www.imdb.com/title/tt0097235/,//www.rottentomatoes.com/m/1006287-dream_team/
The Man Without a Face,Feature Film,Drama,115.0,PG-13,1993.0,8.0,25.0,6.7,22079,Fresh,67.0,Upright,64.0,no,no,no,no,yes,no,Mel Gibson,http://www.imdb.com/title/tt0107501/,//www.rottentomatoes.com/m/man_without_a_face/
The White Countess,Feature Film,Drama,135.0,PG-13,2005.0,12.0,21.0,6.7,5258,Rotten,50.0,Spilled,49.0,no,no,no,no,no,no,James Ivory,http://www.imdb.com/title/tt0384686/,//www.rottentomatoes.com/m/white_countess/
Viva Knievel!,Feature Film,Drama,106.0,PG,1977.0,7.0,15.0,2.7,761,Rotten,17.0,Spilled,17.0,no,no,no,no,no,no,Gordon Douglas,http://www.imdb.com/title/tt0076890/,//www.rottentomatoes.com/m/viva_knievel/
Rising Sun,Feature Film,Drama,125.0,R,1993.0,7.0,30.0,6.2,33839,Rotten,35.0,Spilled,40.0,no,no,no,no,no,no,Philip Kaufman,http://www.imdb.com/title/tt0107969/,//www.rottentomatoes.com/m/rising_sun/
Mojados: Through the Night,Documentary,Documentary,65.0,Unrated,2004.0,3.0,12.0,7.3,183,Fresh,73.0,Upright,88.0,no,no,no,no,no,no,Tommy Davis,http://www.imdb.com/title/tt0400657/,//www.rottentomatoes.com/m/mojados_through_the_night_2004/
Seven Pounds,Feature Film,Drama,123.0,PG-13,2008.0,12.0,19.0,7.7,225130,Rotten,27.0,Upright,75.0,no,no,no,no,no,no,Gabriele Muccino,http://www.imdb.com/title/tt0814314/,//www.rottentomatoes.com/m/seven_pounds/
The Mothman Prophecies,Feature Film,Mystery & Suspense,119.0,PG-13,2002.0,1.0,25.0,6.5,62241,Rotten,52.0,Spilled,56.0,no,no,no,no,no,no,Mark Pellington,http://www.imdb.com/title/tt0265349/,//www.rottentomatoes.com/m/mothman_prophecies/
Breaking and Entering,Feature Film,Drama,120.0,R,2007.0,2.0,16.0,6.6,19714,Rotten,34.0,Spilled,52.0,no,no,no,no,yes,no,Anthony Minghella,http://www.imdb.com/title/tt0443456/,//www.rottentomatoes.com/m/breaking_and_entering/
The English Patient,Feature Film,Drama,162.0,R,1996.0,11.0,15.0,7.4,137126,Certified Fresh,84.0,Upright,83.0,yes,yes,yes,no,yes,no,Anthony Minghella,http://www.imdb.com/title/tt0116209/,//www.rottentomatoes.com/m/english_patient/
Heaven & Earth,Feature Film,Drama,140.0,R,1994.0,6.0,1.0,6.8,10468,Rotten,44.0,Upright,72.0,no,no,no,no,yes,no,Oliver Stone,http://www.imdb.com/title/tt0107096/,//www.rottentomatoes.com/m/1048333-heaven_and_earth/
The Last Kiss,Feature Film,Drama,115.0,R,2006.0,9.0,15.0,6.5,37770,Rotten,46.0,Spilled,59.0,no,no,no,no,no,no,Tony Goldwyn,http://www.imdb.com/title/tt0434139/,//www.rottentomatoes.com/m/last_kiss/
Three of Hearts,Feature Film,Drama,102.0,R,1993.0,4.0,30.0,5.5,1628,Rotten,56.0,Spilled,38.0,no,no,no,no,no,no,Yurek Bogayevicz,http://www.imdb.com/title/tt0108334/,//www.rottentomatoes.com/m/three_of_hearts/
The Tortured,Feature Film,Mystery & Suspense,79.0,R,2012.0,6.0,15.0,5.5,5587,Rotten,6.0,Spilled,35.0,no,no,no,no,no,no,Robert Lieberman,http://www.imdb.com/title/tt1017464/,//www.rottentomatoes.com/m/the_tortured/
The Package,Feature Film,Mystery & Suspense,108.0,R,1989.0,8.0,25.0,6.4,6247,Fresh,64.0,Spilled,43.0,no,no,yes,no,no,no,Andrew Davis,http://www.imdb.com/title/tt0098051/,//www.rottentomatoes.com/m/package/
"Happy, Texas",Feature Film,Comedy,98.0,PG-13,1999.0,10.0,1.0,6.3,8646,Certified Fresh,81.0,Spilled,54.0,no,no,no,no,no,no,Mark Illsley,http://www.imdb.com/title/tt0162360/,//www.rottentomatoes.com/m/happy_texas/
Then She Found Me,Feature Film,Drama,100.0,R,2007.0,9.0,7.0,6.0,8320,Rotten,50.0,Spilled,44.0,no,no,yes,yes,no,no,Helen Hunt,http://www.imdb.com/title/tt0455805/,//www.rottentomatoes.com/m/then_she_found_me/
Promises,Documentary,Documentary,106.0,Unrated,2002.0,3.0,22.0,8.5,2362,Certified Fresh,96.0,Upright,96.0,no,no,no,no,no,no,B.Z. Goldberg,http://www.imdb.com/title/tt0282864/,//www.rottentomatoes.com/m/promises/
Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Documentary,Documentary,92.0,Unrated,2009.0,6.0,1.0,7.8,1942,Certified Fresh,96.0,Upright,89.0,no,no,no,no,no,no,Judith Ehrlich,http://www.imdb.com/title/tt1319726/,//www.rottentomatoes.com/m/daniel_ellsberg_doc/
The Recruit,Feature Film,Mystery & Suspense,115.0,PG-13,2003.0,1.0,31.0,6.6,110238,Rotten,43.0,Spilled,58.0,no,no,yes,no,no,no,Roger Donaldson,http://www.imdb.com/title/tt0292506/,//www.rottentomatoes.com/m/recruit/
Alvin and the Chipmunks: Chipwrecked,Feature Film,Animation,87.0,G,2011.0,12.0,16.0,4.4,21501,Rotten,12.0,Spilled,52.0,no,no,no,no,no,no,Mike Mitchell (VI),http://www.imdb.com/title/tt1615918/,//www.rottentomatoes.com/m/alvin_and_the_chipmunks_chipwrecked_2011/
The Thin Blue Line,Documentary,Documentary,103.0,Unrated,1988.0,8.0,25.0,8.1,14359,Fresh,100.0,Upright,90.0,no,no,no,no,no,no,Errol Morris,http://www.imdb.com/title/tt0096257/,//www.rottentomatoes.com/m/thin_blue_line/
The Cotton Club,Feature Film,Musical & Performing Arts,127.0,R,1984.0,12.0,14.0,6.5,12450,Fresh,75.0,Spilled,55.0,no,no,no,no,yes,no,Francis Ford Coppola,http://www.imdb.com/title/tt0087089/,//www.rottentomatoes.com/m/cotton_club/
Lord of the Flies,Feature Film,Drama,90.0,R,1989.0,1.0,1.0,6.4,21704,Fresh,63.0,Spilled,52.0,no,no,no,no,no,no,Harry Hook,http://www.imdb.com/title/tt0100054/,//www.rottentomatoes.com/m/lord_of_the_flies/
"Same Time, Next Year",Feature Film,Drama,119.0,PG,1978.0,11.0,22.0,7.2,4375,Rotten,40.0,Upright,85.0,no,no,no,yes,no,no,Robert Mulligan,http://www.imdb.com/title/tt0078199/,//www.rottentomatoes.com/m/same_time_next_year/
Proof of Life,Feature Film,Drama,135.0,R,2000.0,12.0,8.0,6.2,48324,Rotten,40.0,Spilled,43.0,no,no,yes,no,no,no,Taylor Hackford,http://www.imdb.com/title/tt0228750/,//www.rottentomatoes.com/m/proof_of_life/
Waking Up in Reno,Feature Film,Comedy,91.0,R,2002.0,10.0,25.0,5.5,4768,Rotten,13.0,Spilled,30.0,no,no,no,yes,no,no,Jordan Brady,http://www.imdb.com/title/tt0219400/,//www.rottentomatoes.com/m/waking_up_in_reno/
Silent Fall,Feature Film,Mystery & Suspense,101.0,R,1994.0,10.0,28.0,5.9,2944,Rotten,24.0,Spilled,38.0,no,no,yes,no,no,no,Bruce Beresford,http://www.imdb.com/title/tt0111187/,//www.rottentomatoes.com/m/silent_fall/
Rock 'n' Roll High School,Feature Film,Comedy,93.0,PG,1979.0,8.0,4.0,6.8,6788,Fresh,79.0,Upright,75.0,no,no,no,no,no,no,Allan Arkush,http://www.imdb.com/title/tt0079813/,//www.rottentomatoes.com/m/1017745-rock_n_roll_high_school/
Twilight Zone---The Movie,Feature Film,Horror,101.0,PG,1983.0,6.0,24.0,6.5,24783,Fresh,65.0,Spilled,55.0,no,no,no,no,no,no,Joe Dante,http://www.imdb.com/title/tt0086491/,//www.rottentomatoes.com/m/twilight_zone_the_movie/
The Golden Bowl,Feature Film,Drama,130.0,R,2000.0,5.0,14.0,6.0,3745,Rotten,54.0,Spilled,39.0,no,no,no,no,no,no,James Ivory,http://www.imdb.com/title/tt0200669/,//www.rottentomatoes.com/m/golden_bowl/
Rio 2,Feature Film,Animation,101.0,G,2014.0,4.0,11.0,6.4,54726,Rotten,48.0,Spilled,59.0,no,no,yes,no,no,no,Carlos Saldanha,http://www.imdb.com/title/tt2357291/,//www.rottentomatoes.com/m/rio_2/
Easy,Feature Film,Drama,99.0,R,2004.0,11.0,26.0,5.9,1493,Rotten,59.0,Spilled,47.0,no,no,no,no,no,no,Jane Weinstock,http://www.imdb.com/title/tt0379270/,//www.rottentomatoes.com/m/easy/
Major League: Back to the Minors,Feature Film,Comedy,100.0,PG-13,1998.0,4.0,17.0,4.4,5616,Rotten,21.0,Spilled,24.0,no,no,no,no,no,no,John Warren,http://www.imdb.com/title/tt0120742/,//www.rottentomatoes.com/m/major_league_back_to_the_minors/
The Wedding Banquet (Xi yan),Feature Film,Drama,106.0,R,1993.0,8.0,4.0,7.6,10492,Fresh,96.0,Upright,87.0,no,no,no,no,yes,no,Ang Lee,http://www.imdb.com/title/tt0107156/,//www.rottentomatoes.com/m/wedding_banquet/
Gotti,TV Movie,Drama,116.0,R,1996.0,8.0,17.0,7.3,4451,Fresh,60.0,Upright,83.0,no,no,no,no,no,no,Robert Harmon,http://www.imdb.com/title/tt0116441/,//www.rottentomatoes.com/m/gotti/
Strange Brew,Feature Film,Comedy,90.0,R,1983.0,8.0,19.0,6.8,12269,Fresh,71.0,Upright,81.0,no,no,no,no,no,no,Dave Thomas,http://www.imdb.com/title/tt0086373/,//www.rottentomatoes.com/m/strange_brew/
Robocop 2,Feature Film,Action & Adventure,117.0,R,1990.0,6.0,22.0,5.7,60335,Rotten,32.0,Spilled,35.0,no,no,no,no,no,no,Irvin Kershner,http://www.imdb.com/title/tt0100502/,//www.rottentomatoes.com/m/robocop_2/
Riders (Steal),Feature Film,Action & Adventure,83.0,R,2002.0,8.0,5.0,5.5,5035,Rotten,29.0,Spilled,34.0,no,no,no,no,no,no,Gerard Pires,http://www.imdb.com/title/tt0282552/,//www.rottentomatoes.com/m/riders-steal/
Warrior,Feature Film,Drama,140.0,PG-13,2011.0,9.0,9.0,8.2,315051,Certified Fresh,82.0,Upright,92.0,no,no,no,no,no,no,Gavin O'Connor,http://www.imdb.com/title/tt1291584/,//www.rottentomatoes.com/m/1212910-warrior/
Percy Jackson: Sea of Monsters,Feature Film,Drama,106.0,PG,2013.0,8.0,7.0,5.9,82737,Rotten,42.0,Spilled,55.0,no,no,no,no,no,no,Thor Freudenthal,http://www.imdb.com/title/tt1854564/,//www.rottentomatoes.com/m/percy_jackson_sea_of_monsters/
Visioneers,Feature Film,Drama,94.0,R,2008.0,6.0,12.0,6.1,4944,Fresh,70.0,Spilled,54.0,no,no,no,no,no,no,Jared Drake,http://www.imdb.com/title/tt0833557/,//www.rottentomatoes.com/m/visioneers/
Bats,Feature Film,Drama,91.0,R,1999.0,10.0,22.0,3.6,8229,Rotten,17.0,Spilled,14.0,no,no,no,no,no,no,Louis Morneau,http://www.imdb.com/title/tt0200469/,//www.rottentomatoes.com/m/bats/
The Brother from Another Planet,Feature Film,Drama,108.0,R,1984.0,9.0,7.0,6.8,4516,Fresh,92.0,Upright,76.0,no,no,no,no,no,no,John Sayles,http://www.imdb.com/title/tt0087004/,//www.rottentomatoes.com/m/the_brother_from_another_planet/
Blame It on Rio,Feature Film,Comedy,100.0,R,1984.0,2.0,17.0,5.7,7858,Rotten,9.0,Spilled,40.0,no,no,no,no,no,no,Stanley Donen,http://www.imdb.com/title/tt0086973/,//www.rottentomatoes.com/m/blame_it_on_rio/
North Face (Nordwand),Feature Film,Drama,126.0,Unrated,2010.0,1.0,29.0,7.4,10938,Certified Fresh,84.0,Upright,82.0,no,no,no,no,no,no,Philipp Stolzl,http://www.imdb.com/title/tt0844457/,//www.rottentomatoes.com/m/north_face/
Predator,Feature Film,Action & Adventure,107.0,R,1987.0,6.0,12.0,7.8,279704,Certified Fresh,78.0,Upright,87.0,no,no,no,no,no,no,Shane Black,http://www.imdb.com/title/tt0093773/,//www.rottentomatoes.com/m/predator/
The Reef,Feature Film,Mystery & Suspense,94.0,R,2010.0,5.0,15.0,5.8,11192,Fresh,78.0,Spilled,41.0,no,no,no,no,no,no,Andrew Traucki,http://www.imdb.com/title/tt1320291/,//www.rottentomatoes.com/m/the_reef_2009/
Dirty Sanchez: The Movie,Documentary,Comedy,94.0,R,2007.0,9.0,11.0,6.2,3851,Rotten,40.0,Upright,75.0,no,no,no,no,no,no,Jim Hickey,http://www.imdb.com/title/tt0758743/,//www.rottentomatoes.com/m/dirty_sanchez/
Shakedown,Feature Film,Drama,97.0,R,1988.0,5.0,6.0,5.8,1838,Fresh,71.0,Spilled,43.0,no,no,no,no,no,no,James Glickenhaus,http://www.imdb.com/title/tt0096087/,//www.rottentomatoes.com/m/1018704-shakedown/
The Principal,Feature Film,Drama,109.0,R,1987.0,9.0,18.0,6.2,6552,Rotten,50.0,Spilled,52.0,no,no,no,no,no,no,Christopher Cain,http://www.imdb.com/title/tt0093780/,//www.rottentomatoes.com/m/principal/
A New Life,Feature Film,Drama,104.0,PG-13,1988.0,3.0,25.0,5.7,390,Rotten,29.0,Spilled,25.0,no,no,no,no,no,no,Alan Alda,http://www.imdb.com/title/tt0095726/,//www.rottentomatoes.com/m/new_life/
Arlington Road,Feature Film,Mystery & Suspense,117.0,R,1999.0,7.0,9.0,7.2,68429,Fresh,62.0,Upright,74.0,no,no,yes,no,no,no,Mark Pellington,http://www.imdb.com/title/tt0137363/,//www.rottentomatoes.com/m/arlington_road/
Annie Hall,Feature Film,Comedy,93.0,PG,1977.0,4.0,20.0,8.1,182983,Certified Fresh,98.0,Upright,93.0,yes,yes,no,yes,yes,no,Woody Allen,http://www.imdb.com/title/tt0075686/,//www.rottentomatoes.com/m/annie_hall/
Charlie: The Life and Art of Charles Chaplin,Documentary,Documentary,132.0,Unrated,2004.0,2.0,13.0,8.0,1147,Fresh,95.0,Upright,90.0,no,no,no,no,no,no,Richard Schickel,http://www.imdb.com/title/tt0379730/,//www.rottentomatoes.com/m/charlie_the_life_and_art_of_charles_chaplin/
The Sessions,Feature Film,Drama,95.0,R,2012.0,10.0,19.0,7.2,35635,Certified Fresh,93.0,Upright,80.0,no,no,no,yes,no,no,Ben Lewin,http://www.imdb.com/title/tt1866249/,//www.rottentomatoes.com/m/the_sessions/
Prison,Feature Film,Drama,102.0,R,1988.0,3.0,4.0,5.9,2569,Rotten,40.0,Spilled,34.0,no,no,no,no,no,no,Renny Harlin,http://www.imdb.com/title/tt0095904/,//www.rottentomatoes.com/m/prison/
Kiss of Death,Feature Film,Drama,101.0,R,1995.0,5.0,19.0,5.9,13980,Fresh,68.0,Spilled,37.0,no,no,yes,yes,no,no,Barbet Schroeder,http://www.imdb.com/title/tt0113552/,//www.rottentomatoes.com/m/1060720-kiss_of_death/
Citizen X,TV Movie,Drama,105.0,R,1995.0,2.0,25.0,7.7,11477,Fresh,86.0,Upright,86.0,no,no,no,no,no,no,Chris Gerolmo,http://www.imdb.com/title/tt0112681/,//www.rottentomatoes.com/m/citizen_x/
The Comebacks,Feature Film,Comedy,84.0,PG-13,2007.0,10.0,19.0,4.1,9853,Rotten,9.0,Spilled,33.0,no,no,no,no,no,no,Tom Brady,http://www.imdb.com/title/tt0790804/,//www.rottentomatoes.com/m/comebacks/
The Other Woman,Feature Film,Drama,102.0,R,2011.0,2.0,4.0,6.4,14970,Rotten,39.0,Spilled,45.0,no,no,no,yes,no,no,Don Roos,http://www.imdb.com/title/tt1032825/,//www.rottentomatoes.com/m/the_other_woman_2011/
